id,Row,Número de Acuerdo,Descripción del Acuerdo,Responsable del Seguimiento,Fecha de Reunión,Fecha de Cumplimiento,Estado,Tipo de Sesión
i88sas9mnv,100,YUC/18-ENE-25/CESO-006,"En la presentación de la ventanilla centro, en la laminilla de solicitudes de identificadores agregar una comuna con aretes devueltos",MVZ. Francis A. Genovez Chanona,45675,45775,Cumplido,18va Ordinaria
ih7xs3d61q,101,YUC/18-ENE-25/CESO-007,Homologar formato de presentación (ventanilla oriente),MVZ. Francis A. Genovez,45675,,Pendiente,18va Ordinaria
ihq4x3u1sp,15,CE-YUC-240123-001,Propuesta de fotografía para validar identificación,Ing. Gerardo Solis Pasos,44950,44959,Cumplido,1ra Extraordinaria
ihq7jxbnd8,65,CE-YUC-180124-001,Agregar al reporte mensual el inventario de las claves de UPP actualizadas.,Jefes de Ventanilla,45309,45329,Cumplido,14va Ordinaria
itechm5v5g,8,CE-YUC-051222-004,Las sesiones del 2023 se realizarán el primer jueves de cada mes.,MVZ. María del Refugio Medina Juárez,44900,TODO 2023,Permanente,1ra Ordinaria
jd251eat1c,86,YUC/11-JUL-24/CESO-008,Análisis de aretes vigentes de la PSG de Humberto Bermejo,MVZ. Francis Genovez Chanona,45484,45484,Cumplido,16va Ordinaria
jzvcpn4v0n,14,CE-YUC-100123-006,Próxima reunión ordinaria,MVZ. María del Refugio Medina Juárez,44936,44959,Cumplido,2da Ordinaria
kb3ypzo12z,74,YUC/07-FEB-24/CESO-002,"Se realiza la interpretación del punto D. SESIONES DEL CONSEJO ESTATAL DE SEGUIMIENTO OPERATIVO, inciso d, para precisar que se refiere al 50% (por ciento) más uno de los integrantes del Consejo.",Mtro. Orlando Arellano Muraoka,45329,45329,Cumplido,3ra Extraordinaria
khht61pbfp,20,CE-YUC-020223-004,Se establecerá la bitácora correspondiente de solicitudes de información que lleguen a éste consejo.,MVZ. Francis A. Genovez Chanona,44959,44959,cumplido,3ra Ordinaria
km6secdauo,35,CE-YUC-040423-004,Definir variables para análisis de reporte de actividades de TIA,Jefes de Ventanilla,45020,45050,Cumplido,5ta Ordinaria
kuh9r0ub0i,71,CE-YUC-180124-007,Enviar el Directorio de Ventanillas SINIIGA y de Centros Expeditores de REEMO,Jefes de Ventanilla,45309,45310,Cumplido,14va Ordinaria
llwrr6wm0g,48,CE-YUC-030823-003,Presentar las claves de PSG vigentes de bovinos y colmenas.,Jefes de Ventanilla,45507,45507,permanente,9na Ordinaria
n3uhi61pem,40,CE-YUC-040523-004,Reportar mensualmente los registros y actualizaciones así como la asignación de identificadores por especie.,Jefes de Ventanilla,45050,próxima reunión,Permanente,6ta Ordinaria
ngaqnojqqd,52,CE-YUC-110923-004,"Incorporar en la firma de actas, los anexos de cada reunión.",MVZ. Francis A. Genovez Chanona,45180,45204,cumplido,10ma Ordinaria
nq9s3396mj,97,YUC/18-ENE-25/CESO-003,Se retomará el seguimiento del Acuerdo relacionado con la suspensión de PSG´s que no han actualizado o terminado su trámite en las ventanillas (oficio 447/24 de SESER) Acuerdo YUC/29-AGO-24/CESO-001,MVZ. Francis A. Genovez Chanona,45675,,Pendiente,18va Ordinaria
ns6fqufwm2,112,YUC/02-JUL-25/CESO-001,"En municipios que ya se encuentren cerrados por concepto de constatación progresiva de hatos (barrido) de tuberculosis bovina, no se dará de alta ni se actualizará ninguna unidad de producción pecuaria que no demuestre fehacientemente que los animales ya fueron muestreados.",MVZ. Francis A. Genovez Chanona,45840,Permanente,,20va Ordinaria
nvjihcetdq,25,CE-YUC-020323-002,Los jefes VAS de Yucatán serán invitados permanentes de éste Consejo.,MVZ. Francis A. Genovez Chanona,44987,permanente,Cumplido,4ta Ordinaria
o0uvtugxlj,58,CE-YUC-061123-004,"Enviar a Centro Operativo Nacional oficio de suspensión de claves de PSG, las cuales no han actualizado su expediente ante Gobierno del Estado.",Ing. Gerardo Solis Pasos,45236,45267,Cumplido,12va Ordinaria
oc5w7xy0oa,22,CE-YUC-020223-006,"Se envía a los integrantes del Consejo la propuesta de Carta compromiso del productor, para apoyar a cumplir la trazabilidad en el Estado, para recibir observaciones hasta el 6 de febrero próximo para definir formato y autorizarlo.",Ing. Gerardo Solis Pasos,44959,44963,Cumplido,3ra Ordinaria
ot07bqmpap,29,CE-YUC-020323-006,Se invitará al presidente y usuario de REEMO de la AGL de Buctzotz involucrado en el caso del productor Diego A. Loria Gil.,MVZ. María del Refugio Medina Juárez,44987,45020,Cumplido,4ta Ordinaria
ovxkkw8o4e,115,YUC/02-JUL-25/CESO-004,La Dirección de Sanidad Agropecuaria solicitará al SINIIGA la baja de los centros de acopio para exportación.,Ing. Juan Carlos Rodríguez Andrade,45840,Semana del 7 al 12 de julio de 2025.,,20va Ordinaria
paqpr6ho4s,78,04/15-FEB-24/CESO-003,Incluir en las tablas de “ALTAS DE UPP y ALTAS DE PSG” el número de animales con los que se dieron de alta.,Jefa y Jefe de Ventanilla,45337,Permanente,Cumplido,15va Ordinaria
pixtulr8dx,21,CE-YUC-020223-005,"La invitación del Presidente de la AGL de Súcila, la responderá el Presidente de éste Consejo. Así como la carta del productor Susano López la responderá el Secretario Técnico del mismo.",MVZ. María del Refugio Medina Juárez,44959,44963,Cumplido,3ra Ordinaria
po8ist9zg1,55,CE-YUC-061123-001,"Modificación del orden del día, incluyendo en asuntos generales el tema de plataforma SENASICA.",MVZ. Francis A. Genovez Chanona,45236,45236,cumplido,12va Ordinaria
